Country2Code;Year;SP_NumericRating;Fitch_NumericRating;AvgRatingSF;Diff_UP_SF;BudgetBal_NGDP;BudgetBal_NGDP_Var;GGSB_NPGDP;GGSB_NPGDP_Var;GGXWDG_NGDP;GGXWDG_NGDP_Var;GGXWDN_NGDP;GGXWDN_NGDP_Var;NGDP_RPCH;NGDPDPC;NGDPDPC_Var;PCPIPCH;ExtDebtCombinedPercGNI;ExtDebtPercGNI_Var;DefaultLastYear;DefaultLast2Years;DefaultLast5Years;DefaultLast10Years
AE;2007;19;19;-1.0;0;21.8;0;;0;7.85;0;-215.13;0;3.18;41472.29;0;11.13;0;0;0;0;0;0
AE;2008;19;19;-1.0;0;20.08;-7.89;;0;12.53;59.57;-203.04;5.619;3.19;39074.84;-5.781;12.25;0;0;0;0;0;0
AE;2009;19;19;-1.0;0;-4.28;-121.3;;0;24.08;92.195;-247.1;-21.7;-5.24;30920.45;-20.869;1.56;0;0;0;0;0;0
AE;2010;19;19;-1.0;0;2.01;146.996;;0;22.24;-7.673;-227.97;7.742;1.64;34611.96;11.939;0.88;0;0;0;0;0;0
AE;2011;19;19;-1.0;0;6.34;215.423;;0;17.61;-20.822;-201.55;11.588;4.89;40817.4;17.929;0.88;0;0;0;0;0;0
AE;2012;19;19;-1.0;0;10.88;71.53;;0;17.04;-3.243;-208.99;-3.69;7.22;42591.17;4.346;0.67;0;0;0;0;0;0
AE;2013;19;19;-1.0;0;10.43;-4.074;;0;15.87;-6.815;-216.11;-3.407;4.32;42874.6;0.665;1.1;0;0;0;0;0;0
AE;2014;19;19;-1.0;0;4.98;-52.234;;0;15.68;-1.21;-223.26;-3.305;4.57;42943.78;0.161;2.35;0;0;0;0;0;0
AE;2015;19;19;-1.0;0;-4.88;-197.913;;0;19.42;23.83;-258.81;-15.926;3.93;36060.02;-16.03;4.07;0;0;0;0;0;0
AR;1997;10;10;-1.0;0;-1.71;34.769;-1.6;60.144;29.57;-2.679;;0;8.11;9851.19;6.365;0;0;0;0;0;1;1
AR;1998;10;10;-1.0;0;-1.7;0.409;-1.93;-20.274;31.87;7.771;;0;3.85;9946.78;0.97;0.93;0;0;0;0;1;1
AR;1999;10;10;-1.0;0;-3.45;-102.641;-2.57;-33.091;36.3;13.91;;0;-3.39;9336.53;-6.135;-1.17;0;0;0;0;0;1
AR;2001;0;0;-1.0;0;-4.91;-63.102;-3.15;-30.282;44.76;17.537;;0;-4.41;8672.46;-6.378;-1.07;0;0;0;0;0;1
AR;2002;0;0;-1.0;0;-1.92;60.884;0.21;106.614;137.72;207.695;;0;-10.9;3201.27;-63.087;25.87;0;0;1;1;1;1
AR;2003;0;0;-1.0;0;1.06;155.284;1.91;819.231;116.39;-15.482;;0;8.84;4029.42;25.869;13.44;138.18;0;1;1;1;1
AR;2004;0;0;-1.0;0;3.21;202.542;3.53;84.467;106.03;-8.903;;0;9.03;4765.42;18.265;4.42;99.39;-28.072;1;1;1;1
AR;2005;1;0;-1.0;1;1.97;-38.749;1.83;-48.228;60.25;-43.182;;0;9.23;5737.21;20.393;9.64;53.5;-46.173;1;1;1;1
AR;2006;8;7;-1.0;1;1.51;-23.12;1.11;-39.102;51.9;-13.848;;0;8.38;6749.81;17.65;10.9;42.58;-20.412;1;1;1;1
AR;2007;8;7;-1.0;1;0.16;-89.359;-0.62;-155.755;44.39;-14.473;;0;7.97;8378.93;24.136;8.83;38.49;-9.597;1;1;1;1
AR;2008;6;6;-1.0;0;0.43;166.46;0.26;142.581;39.27;-11.541;;0;3.08;10214.98;21.913;8.59;31.5;-18.154;1;1;1;1
AR;2009;6;6;-1.0;0;-1.94;-552.214;-0.6;-326.894;47.59;21.196;;0;0.05;9430.85;-7.676;6.27;32.52;3.215;1;1;1;1
AR;2010;7;7;-1.0;0;-1.17;39.845;-0.98;-64.274;39.11;-17.81;;0;9.45;11347.32;20.321;10.46;29.31;-9.85;1;1;1;1
AR;2011;7;7;-1.0;0;-2.41;-106.084;-3.48;-253.963;35.87;-8.283;;0;8.39;13568.24;19.572;9.78;26.35;-10.104;1;1;1;1
AR;2012;6;2;-1.0;4;-2.67;-11.143;-3.04;12.805;37.61;4.85;;0;0.8;14561.99;7.324;10.04;24.5;-7.017;1;1;1;1
AR;2013;5;2;-1.0;3;-2.96;-10.662;-3.65;-20.25;41.48;10.27;;0;2.89;14739.62;1.22;10.62;23.45;-4.31;1;1;1;1
AU;1996;19;19;-1.0;0;-0.89;56.348;-0.81;59.137;29.31;-5.837;21.3;-7.665;4.28;23181.66;10.755;2.65;0;0;0;0;0;0
AU;1997;19;19;-1.0;0;0.06;107.103;0.12;115.111;25.93;-11.561;18.19;-14.588;4.31;22962.71;-0.944;0.23;0;0;0;0;0;0
AU;1998;19;19;-1.0;0;0.34;442.857;0.19;50.407;23.76;-8.366;14.66;-19.394;4.65;20307.16;-11.565;0.86;0;0;0;0;0;0
AU;1999;20;19;-1.0;1;1.28;274.561;0.94;409.73;22.58;-4.967;11.04;-24.695;4.31;21739.39;7.053;1.41;0;0;0;0;0;0
AU;2000;20;19;-1.0;1;1.85;44.731;1.33;41.039;19.57;-13.315;7.15;-35.256;3.19;20744.4;-4.577;4.46;0;0;0;0;0;0
AU;2001;20;19;-1.0;1;-0.04;-101.996;0.13;-90;17.18;-12.213;4.7;-34.201;2.49;19405.48;-6.454;4.41;0;0;0;0;0;0
AU;2002;20;19;-1.0;1;0.14;486.486;0.3;126.316;15.06;-12.322;2.77;-41.178;4.04;21606.15;11.34;3.05;0;0;0;0;0;0
AU;2003;21;20;-1.0;1;0.95;565.035;1.03;241.528;13.22;-12.235;0.76;-72.714;2.97;27087.87;25.371;2.76;92.61;0;0;0;0;0
AU;2004;21;20;-1.0;1;1.33;39.537;1.26;22.471;11.94;-9.66;-1.23;-262.914;4.06;32710.87;20.758;2.31;85.15;-8.06;0;0;0;0
AU;2005;21;20;-1.0;1;1.71;29.013;1.68;33.201;10.89;-8.8;-3.81;-210.081;3.19;36135.28;10.469;2.66;79.88;-6.188;0;0;0;0
AU;2006;21;20;-1.0;1;1.78;3.738;1.71;2.027;9.97;-8.502;-6.32;-65.784;2.69;37853.46;4.755;3.55;89.21;11.68;0;0;0;0
AU;2007;21;20;-1.0;1;1.48;-16.836;1.23;-28.054;9.68;-2.85;-7.27;-14.993;4.49;45031;18.961;2.36;100.76;12.947;0;0;0;0
AU;2008;21;20;-1.0;1;-1.1;-174.543;-1.38;-212.348;11.74;21.287;-5.29;27.19;2.63;48242.94;7.133;4.35;79.15;-21.447;0;0;0;0
AU;2009;21;20;-1.0;1;-4.56;-313.806;-4.48;-223.861;16.75;42.596;-0.6;88.723;1.76;44928.14;-6.871;1.77;116.37;47.027;0;0;0;0
AU;2010;21;20;-1.0;1;-5.1;-12.006;-4.89;-9.265;20.48;22.305;3.93;757.789;2.3;56194.75;25.077;2.86;106.91;-8.13;0;0;0;0
AU;2011;21;21;-1.0;0;-4.47;12.444;-4.21;13.956;24.2;18.164;8.06;105.297;2.68;66721.6;18.733;3.33;96.83;-9.429;0;0;0;0
AU;2012;21;21;-1.0;0;-3.47;22.247;-3.19;24.294;27.8;14.864;11.21;39.01;3.55;68002.65;1.92;1.71;93.85;-3.078;0;0;0;0
AU;2013;21;21;-1.0;0;-2.8;19.372;-2.42;24.122;30.82;10.886;13.2;17.801;2.04;64464.06;-5.204;2.48;90.13;-3.961;0;0;0;0
AU;2014;21;21;-1.0;0;-2.89;-3.142;-2.38;1.778;34.14;10.761;15.72;19.088;2.62;61062.61;-5.277;2.46;99.29;10.162;0;0;0;0
AU;2015;21;21;-1.0;0;-2.77;4.05;-2.16;9.217;36.83;7.871;17.9;13.866;2.48;50961.87;-16.542;1.53;107.33;8.102;0;0;0;0
AT;1994;21;21;-1.0;0;-5.03;-10.263;-4.6;-25.061;63.86;5.098;0;0;2.4;25668.06;6.512;2.71;0;0;0;0;0;0
AT;1995;21;21;-1.0;0;-6.15;-22.275;-6.65;-44.778;68.02;6.505;0;0;2.67;30307.42;18.074;1.6;0;0;0;0;0;0
AT;1996;21;21;-1.0;0;-4.36;29.115;-4.66;30.042;67.96;-0.085;0;0;2.4;29778.14;-1.746;1.79;0;0;0;0;0;0
AT;1997;21;21;-1.0;0;-2.39;45.204;-2.49;46.617;63.19;-7.012;0;0;2.21;26693.03;-10.36;1.16;0;0;0;0;0;0
AT;1998;21;21;-1.0;0;-2.72;-14.112;-2.88;-15.855;63.61;0.652;0;0;3.56;27348.04;2.454;0.82;0;0;0;0;0;0
AT;1999;21;21;-1.0;0;-2.6;4.697;-2.77;3.96;66.43;4.434;0;0;3.59;27185.69;-0.594;0.52;0;0;0;0;0;0
AT;2000;21;21;-1.0;0;-2.05;21.101;-3.48;-25.714;65.86;-0.846;0;0;3.37;24617.96;-9.445;1.96;0;0;0;0;0;0
AT;2001;21;21;-1.0;0;-0.62;69.937;-1.2;65.449;66.48;0.941;0;0;1.35;24576.15;-0.17;2.3;0;0;0;0;0;0
AT;2002;21;21;-1.0;0;-1.35;-118.344;-1.06;11.657;66.29;-0.29;0;0;1.66;26504.85;7.848;1.7;0;0;0;0;0;0
AT;2003;21;21;-1.0;0;-1.77;-31.301;-0.65;38.926;65.49;-1.205;0;0;0.76;32248.22;21.669;1.3;157.2;0;0;0;0;0
AT;2004;21;21;-1.0;0;-4.78;-170.442;-1.43;-120.062;64.8;-1.054;0;0;2.71;36875.71;14.35;1.95;164.74;4.798;0;0;0;0
AT;2005;21;21;-1.0;0;-2.51;47.446;-1.91;-34.081;68.32;5.421;0;0;2.14;38430.94;4.217;2.11;162.93;-1.1;0;0;0;0
AT;2006;21;21;-1.0;0;-2.5;0.478;-2.98;-55.91;67.04;-1.86;0;0;3.35;40536.77;5.48;1.69;192.8;18.333;0;0;0;0
AT;2007;21;21;-1.0;0;-1.32;47.278;-3.51;-17.679;64.81;-3.335;0;0;3.62;46721.57;15.257;2.2;207.85;7.806;0;0;0;0
AT;2008;21;21;-1.0;0;-1.45;-9.947;-3.21;8.438;68.52;5.725;0;0;1.55;51713.8;10.685;3.22;193.4;-6.953;0;0;0;0
AT;2009;21;21;-1.0;0;-5.32;-267.196;-2.69;16.407;79.73;16.358;0;0;-3.8;47822.73;-7.524;0.4;209.9;8.529;0;0;0;0
AT;2010;21;21;-1.0;0;-4.45;16.344;-3.12;-16.313;82.29;3.214;0;0;1.93;46810.13;-2.117;1.69;209.58;-0.152;0;0;0;0
AT;2011;21;21;-1.0;0;-2.56;42.513;-2.48;20.621;82.07;-0.265;0;0;2.81;51274.07;9.536;3.55;183.24;-12.569;0;0;0;0
AT;2015;20;20;-1.0;0;-1.6;40.505;-0.24;12.132;86.18;2.303;47.83;0.336;0.88;43724.03;-14.988;0.8;173.57;1.69;0;0;0;0
AZ;2008;11;11;-1.0;0;20.6;0;;0;7.3;0;;0;10.8;5212.83;0;20.82;10.25;0;0;0;0;0
AZ;2009;11;11;-1.0;0;7.43;-63.915;;0;11.79;61.601;;0;9.3;4933.36;-5.361;1.56;11.66;13.81;0;0;0;0
AZ;2011;12;12;-1.0;0;11.55;-19.408;;0;10.11;-9.338;;0;0.09;7106.04;21.528;7.87;13.23;-6.921;0;0;0;0
AZ;2012;12;12;-1.0;0;4.81;-58.388;;0;11.6;14.762;;0;2.16;7471.77;5.147;1.02;15.12;14.236;0;0;0;0
AZ;2013;12;12;-1.0;0;1.51;-68.587;;0;13.75;18.579;;0;5.8;7934.4;6.192;2.43;14.83;-1.938;0;0;0;0
AZ;2014;12;12;-1.0;0;2.8;85.629;;0;16.04;16.592;;0;2.8;8055.21;1.523;1.35;16.1;8.614;0;0;0;0
AZ;2015;12;12;-1.0;0;-3.41;-221.655;;0;36.11;125.181;;0;1.1;5739.43;-28.749;4.04;0;-100;0;0;0;0
BE;1994;20;20;-1.0;0;-5.22;31.577;-4.59;28.934;136.31;-1.326;0;0;3.23;23754.02;8.744;2.4;0;0;0;0;0;0
BE;1995;20;20;-1.0;0;-4.45;14.847;-3.88;15.41;130.55;-4.229;0;0;2.39;28616.75;20.471;1.27;0;0;0;0;0;0
BE;1996;20;20;-1.0;0;-3.93;11.564;-3.05;21.464;127.97;-1.97;0;0;1.59;27749.79;-3.03;1.77;0;0;0;0;0;0
BE;1997;20;20;-1.0;0;-2.13;45.943;-1.89;37.861;123.21;-3.725;0;0;3.71;25089.91;-9.585;1.5;0;0;0;0;0;0
BE;1998;20;18;-1.0;2;-0.95;55.388;-0.57;69.852;118.2;-4.066;89.93;0;1.98;25604.83;2.052;0.91;0;0;0;0;0;0
BE;1999;20;18;-1.0;2;-0.55;41.983;-0.72;-26.795;114.38;-3.227;85.11;-5.359;3.56;25509.14;-0.374;1.14;0;0;0;0;0;0
BE;2000;20;18;-1.0;2;-0.07;86.909;-0.83;-15.193;108.77;-4.908;79.93;-6.089;3.63;23303.13;-8.648;2.68;0;0;0;0;0;0
BE;2001;20;18;-1.0;2;0.17;338.889;0;100.36;107.56;-1.112;76.18;-4.688;0.81;23193.68;-0.47;2.44;0;0;0;0;0;0
BE;2002;20;19;-1.0;1;0.05;-73.256;0.04;1333.333;104.69;-2.672;73.22;-3.889;1.78;25197.25;8.638;1.55;0;0;0;0;0;0
BE;2003;20;19;-1.0;1;-1.76;-3928.261;-0.95;-2309.302;101.09;-3.438;72.08;-1.553;0.77;30863.07;22.486;1.52;239.62;0;0;0;0;0
BE;2004;20;19;-1.0;1;-0.16;91.028;-0.98;-2.737;96.5;-4.537;66.04;-8.381;3.64;35722.72;15.746;1.86;256.05;6.855;0;0;0;0
BE;2005;20;19;-1.0;1;-2.57;-1527.848;-0.46;52.869;94.61;-1.964;64.23;-2.739;2.09;37146.68;3.986;2.54;251.45;-1.796;0;0;0;0
BE;2006;20;20;-1.0;0;0.29;111.431;-0.68;-47.826;90.94;-3.88;60.9;-5.187;2.5;39021.77;5.048;2.33;278.41;10.721;0;0;0;0
BE;2007;20;20;-1.0;0;0.06;-79.592;-0.79;-16.765;86.93;-4.41;54.25;-10.924;3.4;44638.27;14.393;1.82;321.29;15.405;0;0;0;0
BE;2008;20;20;-1.0;0;-1.1;-1931.667;-1.79;-125.315;92.43;6.331;55.05;1.478;0.75;48850.71;9.437;4.49;304.11;-5.349;0;0;0;0
BE;2009;20;20;-1.0;0;-5.39;-390.082;-4.06;-126.663;99.46;7.61;61.01;10.828;-2.29;45176.03;-7.522;-0.01;307.3;1.048;0;0;0;0
BE;2010;20;20;-1.0;0;-3.97;26.29;-3.94;2.762;99.62;0.155;59.51;-2.459;2.7;44691.32;-1.073;2.33;273.83;-10.891;0;0;0;0
BE;2012;19;19;-1.0;0;-4.15;-1.121;-3.65;13.622;104.06;1.774;62.4;2.751;0.15;44890.68;-6.382;2.63;276.4;3.191;0;0;0;0
BE;2013;19;19;-1.0;0;-2.91;29.887;-2.89;20.817;105.06;0.958;63.48;1.719;0.02;46728.38;4.094;1.25;250.54;-9.357;0;0;0;0
BE;2014;19;19;-1.0;0;-3.11;-6.91;-2.9;-0.485;106.66;1.521;63.19;-0.446;1.35;47517.97;1.69;0.49;233.78;-6.688;0;0;0;0
BE;2015;19;19;-1.0;0;-2.76;11.125;-2.33;19.752;106.31;-0.321;63.82;0.989;1.37;40106.63;-15.597;0.62;247.13;5.713;0;0;0;0
BG;2000;8;8;-1.0;0;-0.61;-500.658;0.95;0;73.89;-6.993;22.25;0;5.01;1613.33;-3.561;10.32;93.64;5.221;1;1;1;1
BG;2001;9;8;-1.0;1;-0.58;4.433;1.16;22.023;67.29;-8.93;16.34;-26.563;4.25;1791.3;11.031;7.37;79.62;-14.966;1;1;1;1
BG;2002;10;10;-1.0;0;-0.62;-5.842;0.5;-56.995;53.54;-20.428;7.75;-52.547;6.02;2085.27;16.411;5.81;73.72;-7.419;1;1;1;1
BG;2003;11;11;-1.0;0;0;100.325;1.08;116.265;45.58;-14.874;-8.9;-214.745;5.08;2701.6;29.557;2.35;66.58;-9.686;1;1;1;1
BG;2004;12;12;-1.0;0;1.6;79750;2.01;87.001;37.86;-16.946;-12.73;-43.08;6.56;3362.25;24.454;6.15;62.96;-5.439;0;1;1;1
BG;2005;13;13;-1.0;0;2.19;37.132;1.49;-25.819;28.52;-24.668;-7.4;41.879;7.24;3863.42;14.906;6.04;61.89;-1.696;1;1;1;1
BG;2006;14;13;-1.0;1;3.23;47.397;1.81;21.352;22.66;-20.546;-10.11;-36.704;6.75;4467.21;15.629;7.42;83.72;35.279;0;1;1;1
BG;2007;14;13;-1.0;1;3.06;-5.112;0.4;-77.992;17.46;-22.954;-9.62;4.895;7.68;5859.05;31.157;7.57;105.52;26.039;0;0;1;1
BG;2008;13;12;-1.0;1;2.72;-11.133;-0.5;-225.313;14.65;-16.068;-12.91;-34.189;5.65;7186.1;22.65;11.95;101.86;-3.473;0;0;1;1
BG;2009;13;12;-1.0;1;-0.86;-131.558;-1.39;-177.8;14.61;-0.3;-12.99;-0.666;-4.22;6846.32;-4.728;2.47;111.08;9.057;0;0;1;1
BG;2010;13;12;-1.0;1;-3.83;-345.402;-3.83;-175.81;14.28;-2.28;-13.01;-0.146;0.06;6654.35;-2.804;3.04;104.23;-6.169;0;0;0;1
BG;2011;13;12;-1.0;1;-1.86;51.464;-1.71;55.338;14.52;1.702;-10.96;15.788;1.58;7772.63;16.805;3.39;87.05;-16.48;0;0;0;1
BG;2012;13;12;-1.0;1;-0.44;76.306;0.3;117.417;16.77;15.498;-9.86;9.995;0.24;7357.13;-5.346;2.39;97.09;11.532;0;0;0;1
BG;2013;13;12;-1.0;1;-1.76;-299.318;-0.98;-428.523;17.22;2.719;-7.75;21.438;1.28;7685.19;4.459;0.38;97.1;0.015;0;0;0;1
BH;2002;15;13;-1.0;2;-3.41;0;;0;28.38;0;16.16;0;3.35;13498.64;0;-0.5;0;0;0;0;0;0
BH;2003;15;15;-1.0;0;-1.78;47.978;;0;32.45;14.356;20.12;24.537;6.3;14482.93;7.292;1.68;0;0;0;0;0;0
BH;2004;15;15;-1.0;0;0.25;113.915;;0;29.4;-9.414;29.4;46.121;6.98;15960.53;10.202;2.25;0;0;0;0;0;0
BH;2005;15;15;-1.0;0;2.91;1078.543;;0;24.2;-17.698;24.2;-17.698;6.77;17962.34;12.542;2.62;0;0;0;0;0;0
BH;2006;16;15;-1.0;1;2.34;-19.684;;0;20.25;-16.293;20.25;-16.293;6.47;19263.41;7.243;2.04;0;0;0;0;0;0
BH;2007;16;16;-1.0;0;1.59;-32.164;;0;16.35;-19.291;16.35;-19.291;8.29;20903.82;8.516;3.25;0;0;0;0;0;0
BH;2008;16;16;-1.0;0;4.26;168.348;;0;12.56;-23.143;12.56;-23.143;6.24;23231.04;11.133;3.53;0;0;0;0;0;0
BH;2009;16;16;-1.0;0;-5.59;-231.25;;0;21.36;70.055;21.36;70.055;2.54;19461.09;-16.228;2.79;0;0;0;0;0;0
BH;2010;16;16;-1.0;0;-5.83;-4.422;;0;29.71;39.061;29.71;39.061;4.34;20823.22;6.999;1.97;0;0;0;0;0;0
BH;2011;13;13;-1.0;0;-1.47;74.833;;0;32.5;9.405;32.5;9.405;2.1;24299.03;16.692;-0.37;0;0;0;0;0;0
BH;2012;13;13;-1.0;0;-3.16;-114.918;;0;36.21;11.396;36.21;11.396;3.59;25227.12;3.819;2.77;0;0;0;0;0;0
BH;2013;13;13;-1.0;0;-5.35;-69.54;;0;43.47;20.051;43.47;20.051;5.41;26456.19;4.872;3.3;0;0;0;0;0;0
BH;2014;13;13;-1.0;0;-5.76;-7.665;;0;43.79;0.752;43.79;0.752;4.49;26686.27;0.87;2.65;0;0;0;0;0;0
BH;2015;12;12;-1.0;0;-15.11;-162.302;;0;63.31;44.554;63.31;44.554;3.15;23509.98;-11.902;1.84;0;0;0;0;0;0
BR;1994;8;8;-1.0;0;0;0;0;0;0;0;0;0;5.34;3569.46;0;2075.83;28.47;0;1;1;1;1
BR;1995;8;8;-1.0;0;0;0;0;0;0;0;0;0;4.42;4950.3;38.685;66.01;21.23;-25.406;1;1;1;1
BR;1996;8;8;-1.0;0;-5.35;0;0;0;0;0;0;0;2.21;5273.89;6.537;15.76;21.92;3.226;1;1;1;1
BR;1997;9;8;-1.0;1;-5.6;-4.826;0;0;0;0;0;0;3.4;5394.64;2.29;6.93;22.66;3.367;1;1;1;1
BR;1998;9;8;-1.0;1;-7.22;-28.837;0;0;0;0;0;0;0.34;5197.03;-3.663;3.2;29.31;29.368;1;1;1;1
BR;1999;8;7;-1.0;1;-5.18;28.324;0;0;0;0;0;0;0.47;3552.14;-31.651;4.86;43.11;47.064;1;1;1;1
BR;2001;9;9;-1.0;0;-3.17;4.458;-2.86;18.636;70.05;6.853;51.49;9.624;1.39;3183.79;-15.75;6.84;43.04;11.305;1;1;1;1
BR;2002;8;7;-1.0;1;-4.42;-39.313;-4;-39.735;78.8;12.482;59.93;16.408;3.05;2859.6;-10.183;8.45;47.68;10.761;1;1;1;1
BR;2003;8;8;-1.0;0;-5.18;-17.153;-3.96;1.049;73.82;-6.314;54.26;-9.469;1.14;3090.66;8.08;14.71;44.13;-7.434;0;1;1;1
BR;2004;9;9;-1.0;0;-2.88;44.447;-2.61;34.192;70.08;-5.074;50.19;-7.507;5.76;3659.1;18.392;6.6;34.28;-22.319;1;1;1;1
BR;2005;9;9;-1.0;0;-3.54;-23.053;-3.2;-22.64;68.59;-2.129;47.92;-4.525;3.2;4815.71;31.609;6.87;21.99;-35.87;1;1;1;1
BR;2006;10;10;-1.0;0;-3.57;-0.876;-3.34;-4.349;65.85;-3.995;46.49;-2.982;3.96;5912.55;22.776;4.18;18.29;-16.807;1;1;1;1
BR;2007;11;11;-1.0;0;-2.74;23.333;-3.31;0.9;63.74;-3.192;44.14;-5.04;6.07;7374.08;24.719;3.64;17.81;-2.613;1;1;1;1
BR;2008;12;12;-1.0;0;-1.53;43.99;-2.61;20.968;61.87;-2.941;37.1;-15.962;5.09;8854.16;20.071;5.68;16.29;-8.556;1;1;1;1
BR;2009;12;12;-1.0;0;-3.19;-107.958;-3.39;-29.862;64.94;4.972;40.36;8.804;-0.13;8624.42;-2.595;4.89;17.74;8.884;1;1;1;1
BR;2010;12;12;-1.0;0;-2.72;14.711;-4.53;-33.579;63.05;-2.924;37.98;-5.906;7.53;11297.84;30.998;5.04;16.22;-8.559;1;1;1;1
BR;2011;13;13;-1.0;0;-2.47;9.195;-4.07;10.196;61.24;-2.86;34.49;-9.181;3.91;13234.24;17.14;6.64;15.72;-3.089;1;1;1;1
BR;2012;13;13;-1.0;0;-2.53;-2.268;-3.89;4.35;62.31;1.744;32.25;-6.488;1.92;12344.41;-6.724;5.4;18.51;17.746;1;1;1;1
BR;2013;13;13;-1.0;0;-2.96;-17.347;-4.88;-25.257;60.36;-3.123;30.59;-5.156;3.02;12260.12;-0.683;6.2;20.54;10.97;1;1;1;1
BR;2015;11;11;-1.0;0;-10.3;-70.349;-9.29;-22.972;73.7;16.399;36.19;9.305;-3.85;8670;-27.27;9.03;38.31;62.951;0;0;0;0
CA;1994;20;19;-1.0;1;-6.96;22.39;-5.56;8.596;97.79;2.889;66.35;5.104;4.49;19963.3;-0.905;0.14;0;0;0;0;0;0
CA;2001;20;20;-1.0;0;0.53;-79.955;-0.18;-114.886;81.75;1.294;41.45;-5.566;1.77;23777.49;-1.832;2.51;0;0;0;0;0;0
CA;2002;21;20;-1.0;1;-0.23;-144.256;-0.95;-433.898;79.89;-2.278;39.26;-5.274;3.01;24210.04;1.819;2.28;0;0;0;0;0;0
CA;2003;21;20;-1.0;1;-0.13;45.957;-0.42;55.661;76.18;-4.64;36.93;-5.947;1.8;28242.19;16.655;2.74;73.09;0;0;0;0;0
CA;2004;21;21;-1.0;0;0.77;706.299;0.22;151.551;72.14;-5.311;32.39;-12.295;3.09;32075.36;13.573;1.84;66.33;-9.242;0;0;0;0
CA;2005;21;21;-1.0;0;1.56;102.338;0.64;193.981;70.87;-1.756;28.38;-12.36;3.2;36315.73;13.22;2.23;61.61;-7.122;0;0;0;0
CA;2006;21;21;-1.0;0;1.83;17.651;0.72;13.228;70.13;-1.047;25.52;-10.08;2.62;40441.77;11.362;2.02;59.43;-3.53;0;0;0;0
