="";="foodw_mfbudgetbal";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="";="main:ngdpdpc_var";="main:ngdp_rpch";="main:extdebtpercgni_var";="main:budgetbal_ngdp_var";="main:pcpipch";="main:0.defaultlastyear";="main:1.defaultlastyear";="main:0.defaultlast2years";="main:1.defaultlast2years";="main:0.defaultlast5years";="main:1.defaultlast5years";="main:0.defaultlast10years";="main:1.defaultlast10years";="cut1:_cons";="cut2:_cons";="cut3:_cons";="cut4:_cons";="sigma2_u:_cons"
="t";=".0019133";="-.2466216";="-.0413595";=".018945";="-1.312688";=".";="-.3842263";="";="";="";="";="";="";="";="";="";="";=""
="p";=".9984734";=".8052011";=".9670093";=".984885";=".1892881";=".";=".7008107";="";="";="";="";="";="";="";="";="";="";=""
="budgetbal_OP_2";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0008768";="-.0152002";="7.47e-06";="9.96e-07";="-.0107413";="";="";="0";=".1319497";="";="";="";="";="-.1121992";="1.393128";="2.247146";="2.897895";=".3767137"
="t";=".0881837";="-.4809007";=".0017689";=".2306564";="-1.348183";="";="";=".";=".4443558";="";="";="";="";="-.4412764";="4.711487";="7.919702";="6.825174";="1.87694"
="p";=".9297307";=".6305871";=".9985886";=".8175818";=".1775995";="";="";=".";=".6567853";="";="";="";="";=".6590129";="2.46e-06";="2.44e-15";="8.78e-12";=".0605263"
="budgetbal_ME0_Def2";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.000343";=".0059459";="-2.92e-06";="-3.90e-07";=".0042017";="";="";="0";="-.0517481";="";="";="";="";="";="";="";="";=""
="t";="-.0882642";=".4836708";="-.0017689";="-.2306692";="1.380396";="";="";=".";="-.4453913";="";="";="";="";="";="";="";="";=""
="p";=".9296667";=".6286195";=".9985886";=".8175718";=".1674647";="";="";=".";=".656037";="";="";="";="";="";="";="";="";=""
="budgetbal_ME1_Def2";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0002216";="-.003842";="1.89e-06";="2.52e-07";="-.002715";="";="";="0";=".0340734";="";="";="";="";="";="";="";="";=""
="t";=".0886166";="-.494177";=".001769";=".2306473";="-1.36955";="";="";=".";=".4355062";="";="";="";="";="";="";="";="";=""
="p";=".9293866";=".6211811";=".9985886";=".8175888";=".1708275";="";="";=".";=".663195";="";="";="";="";="";="";="";="";=""
="budgetbal_ME2_Def2";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0000964";="-.0016711";="8.22e-07";="1.10e-07";="-.0011809";="";="";="0";=".0141146";="";="";="";="";="";="";="";="";=""
="t";=".0874005";="-.4571167";=".0017689";=".2300643";="-1.254888";="";="";=".";=".458941";="";="";="";="";="";="";="";="";=""
="p";=".9303531";=".6475872";=".9985886";=".8180418";=".2095195";="";="";=".";=".6462765";="";="";="";="";="";="";="";="";=""
="budgetbal_OP_5";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0004189";="-.0103846";="-.0000788";="1.19e-06";="-.0109737";="";="";="";="";="0";="-.010213";="";="";="-.1921738";="1.313643";="2.169092";="2.822995";=".3854612"
="t";=".0429712";="-.3396749";="-.0186747";=".2910669";="-1.40892";="";="";="";="";=".";="-.0313501";="";="";="-.6171269";="3.773619";="6.513592";="5.830035";="1.939031"
="p";=".9657245";=".7341014";=".9851006";=".7710002";=".1588588";="";="";="";="";=".";=".9749903";="";="";=".537151";=".0001609";="7.34e-11";="5.54e-09";=".0524975"
="budgetbal_ME0_Def5";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0001643";=".0040723";=".0000309";="-4.68e-07";=".0043033";="";="";="";="";="0";=".004004";="";="";="";="";="";="";=""
="t";="-.0429846";=".3408264";=".0186735";="-.2910816";="1.440663";="";="";="";="";=".";=".0313526";="";="";="";="";="";="";=""
="p";=".9657138";=".7332343";=".9851016";=".7709889";=".14968";="";="";="";="";=".";=".9749883";="";="";="";="";="";="";=""
="budgetbal_ME1_Def5";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0001066";="-.0026441";="-.0000201";="3.04e-07";="-.0027941";="";="";="";="";="0";="-.0025928";="";="";="";="";="";="";=""
