="";="foodw_sfbudgetbal";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="";="main:ngdpdpc_var";="main:ngdp_rpch";="main:extdebtpercgni_var";="main:budgetbal_ngdp_var";="main:pcpipch";="main:0.defaultlastyear";="main:1.defaultlastyear";="main:0.defaultlast2years";="main:1.defaultlast2years";="main:0.defaultlast5years";="main:1.defaultlast5years";="main:0.defaultlast10years";="main:1.defaultlast10years";="cut1:_cons";="cut2:_cons";="cut3:_cons";="cut4:_cons";="cut5:_cons";="cut6:_cons";="cut7:_cons";="cut8:_cons";="sigma2_u:_cons"
="t";="-1.298792";="-2.101344";="-2.152536";="-.3137498";="-.5688033";="";="";=".";="-1.440761";="";="";="";="";="";="";="";="";="";="";="";="";=""
="p";=".1940154";=".0356108";=".0313551";=".753711";=".5694896";="";="";=".";=".1496521";="";="";="";="";="";="";="";="";="";="";="";="";=""
="budgetbal_ME2_Def2";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.000545";="-.0028097";="-.0003001";="-1.13e-06";="-.0000179";="";="";="0";="-.0180683";="";="";="";="";="";="";="";="";="";="";="";="";=""
="t";="-1.180718";="-1.974614";="-1.599507";="-.3187614";="-.5715737";="";="";=".";="-1.248779";="";="";="";="";="";="";="";="";="";="";="";="";=""
="p";=".237715";=".0483119";=".1097081";=".7499075";=".5676108";="";="";=".";=".211746";="";="";="";="";="";="";="";="";="";="";="";="";=""
="budgetbal_OP_5";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0081474";="-.046796";="-.0044244";="-.0000189";="-.0002797";="";="";="";="";="0";="-.0913661";="";="";=".0192782";="1.523728";="2.296231";="2.639092";="2.774546";="3.422419";="3.651554";="3.955125";=".7707131"
="t";="-1.291925";="-2.274796";="-2.034092";="-.3659364";="-.586265";="";="";="";="";=".";="-.4518283";="";="";=".0975314";="6.108136";="7.049275";="8.365219";="8.657659";="8.428907";="6.835226";="4.927001";="2.013643"
="p";=".1963832";=".0229181";=".0419423";=".7144125";=".5576975";="";="";="";="";=".";=".6513927";="";="";=".9223044";="1.01e-09";="1.80e-12";="0";="0";="0";="8.19e-12";="8.35e-07";=".0440471"
="budgetbal_ME0_Def5";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0029916";=".0171827";=".0016246";="6.94e-06";=".0001027";="";="";="";="";="0";=".0338604";="";="";="";="";="";="";="";="";="";="";=""
="t";="1.27847";="2.342533";="2.029032";=".3656134";=".5882991";="";="";="";="";=".";=".4494535";="";="";="";="";="";="";="";="";="";="";=""
="p";=".2010837";=".0191533";=".042455";=".7146536";=".5563315";="";="";="";="";=".";=".6531045";="";="";="";="";="";="";="";="";="";="";=""
="budgetbal_ME1_Def5";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0023322";="-.0133955";="-.0012665";="-5.41e-06";="-.0000801";="";="";="";="";="0";="-.0261542";="";="";="";="";="";="";="";="";="";="";=""
="t";="-1.275842";="-2.256995";="-2.079895";="-.362624";="-.582757";="";="";="";="";=".";="-.4551341";="";="";="";="";="";="";="";="";="";="";=""
="p";=".2020113";=".0240084";=".0375352";=".7168858";=".5600569";="";="";="";="";=".";=".6490128";="";="";="";="";="";="";="";="";="";="";=""
="budgetbal_ME2_Def5";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0005235";="-.003007";="-.0002843";="-1.21e-06";="-.000018";="";="";="";="";="0";="-.0061016";="";="";="";="";="";="";="";="";="";="";=""
="t";="-1.166068";="-2.087416";="-1.559079";="-.3696725";="-.5844152";="";="";="";="";=".";="-.4283862";="";="";="";="";="";="";="";="";="";="";=""
="p";=".243587";=".0368506";=".1189778";=".7116265";=".558941";="";="";="";="";=".";=".66837";="";="";="";="";="";="";="";="";="";="";=""
="budgetbal_OP_10";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0078958";="-.0434353";="-.0042097";="-.0000205";="-.0003663";="";="";="";="";="";="";="0";="-.4597703";="-.2982747";="1.208378";="1.975031";="2.313158";="2.446397";="3.088358";="3.31738";="3.623906";=".7280745"
