="";="foodw_sfstructbal";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="";="main:ngdpdpc_var";="main:ngdp_rpch";="main:extdebtpercgni_var";="main:ggsb_npgdp";="main:pcpipch";="main:0.defaultlastyear";="main:1.defaultlastyear";="main:0.defaultlast2years";="main:1.defaultlast2years";="main:0.defaultlast5years";="main:1.defaultlast5years";="main:0.defaultlast10years";="main:1.defaultlast10years";="cut1:_cons";="cut2:_cons";="cut3:_cons";="cut4:_cons";="cut5:_cons";="sigma2_u:_cons"
="t";="-1.556281";="-1.806091";="-1.683228";="-.4735566";="-.5640067";="";="";=".";="-.1175513";="";="";="";="";="";="";="";="";="";=""
="p";=".1196413";=".0709042";=".092331";=".6358161";=".5727496";="";="";=".";=".9064232";="";="";="";="";="";="";="";="";="";=""
="structbal_ME2_Def2";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0011572";="-.0037525";="-.0007214";="-.0012919";="-.0000249";="";="";="0";="-.0024565";="";="";="";="";="";="";="";="";="";=""
="t";="-1.309536";="-2.123297";="-1.444843";="-.472332";="-.5681732";="";="";=".";="-.1159819";="";="";="";="";="";="";="";="";="";=""
="p";=".1903528";=".033729";=".1485019";=".6366898";=".5699173";="";="";=".";=".9076669";="";="";="";="";="";="";="";="";="";=""
="structbal_OP_5";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0117649";="-.0376688";="-.0072596";="-.0125783";="-.0002614";="";="";="";="";="0";="-.0526341";="";="";=".0402566";="1.401755";="2.404818";="2.892873";="3.269776";=".5365102"
="t";="-1.538323";="-1.921822";="-1.674305";="-.4404261";="-.5888078";="";="";="";="";=".";="-.2900446";="";="";=".1617783";="4.771479";="5.489875";="6.529742";="8.025469";="2.213587"
="p";=".1239696";=".0546281";=".0940707";=".6596285";=".5559902";="";="";="";="";=".";=".7717821";="";="";=".8714805";="1.83e-06";="4.02e-08";="6.59e-11";="1.11e-15";=".0268572"
="structbal_ME0_Def5";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0043787";=".0140197";=".0027019";=".0046814";=".0000973";="";="";="";="";="0";=".0196812";="";="";="";="";="";="";="";=""
="t";="1.531797";="1.972816";="1.68982";=".4440457";=".5899127";="";="";="";="";=".";=".2888488";="";="";="";="";="";="";="";=""
="p";=".1255725";=".0485166";=".0910624";=".6570095";=".5552492";="";="";="";="";=".";=".7726971";="";="";="";="";="";="";="";=""
="structbal_ME1_Def5";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0030302";="-.0097022";="-.0018698";="-.0032397";="-.0000673";="";="";="";="";="0";="-.0135487";="";="";="";="";="";="";="";=""
