="";="fooup_mfgrossdebt";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="";="main:ngdpdpc_var";="main:ngdp_rpch";="main:extdebtpercgni_var";="main:ggxwdg_ngdp_var";="main:pcpipch";="main:0.defaultlastyear";="main:1.defaultlastyear";="main:0.defaultlast2years";="main:1.defaultlast2years";="main:0.defaultlast5years";="main:1.defaultlast5years";="main:0.defaultlast10years";="main:1.defaultlast10years";="cut1:_cons";="cut2:_cons";="cut3:_cons";="cut4:_cons";="cut5:_cons";="cut6:_cons";="sigma2_u:_cons"
="grossdebt_ME0_Def10";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.002828";=".0046141";="-.0021129";="-.0014443";=".0002745";="";="";="";="";="";="";="0";=".0681929";="";="";="";="";="";="";=""
="t";="-.8509408";=".3328535";="-1.215906";="-.8792184";=".5466194";="";="";="";="";="";="";=".";=".3857546";="";="";="";="";="";="";=""
="p";=".3948022";=".7392449";=".2240207";=".3792828";=".5846402";="";="";="";="";="";="";=".";=".6996784";="";="";="";="";="";="";=""
="grossdebt_ME1_Def10";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0023629";="-.0038553";=".0017654";=".0012068";="-.0002294";="";="";="";="";="";="";="0";="-.0557339";="";="";="";="";="";="";=""
="t";=".8336514";="-.3279167";="1.188752";=".8552933";="-.5383249";="";="";="";="";="";="";=".";="-.3957261";="";="";="";="";="";="";=""
="p";=".4044774";=".7429747";=".2345372";=".3923888";=".5903528";="";="";="";="";="";="";=".";=".6923071";="";="";="";="";="";="";=""
="grossdebt_ME2_Def10";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0004128";="-.0006736";=".0003085";=".0002109";="-.0000401";="";="";="";="";="";="";="0";="-.0109747";="";="";="";="";="";="";=""
="t";=".7937599";="-.3427169";="1.00736";=".8516649";="-.5490216";="";="";="";="";="";="";=".";="-.3444667";="";="";="";="";="";="";=""
="p";=".4273352";=".7318114";=".3137619";=".3944001";=".5829906";="";="";="";="";="";="";=".";=".7304953";="";="";="";="";="";="";=""
=""
