="";="foodw_sfnetdebt";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="";="main:ngdpdpc_var";="main:ngdp_rpch";="main:extdebtpercgni_var";="main:ggxwdn_ngdp_var";="main:pcpipch";="main:0.defaultlastyear";="main:1.defaultlastyear";="main:0.defaultlast2years";="main:1.defaultlast2years";="main:0.defaultlast5years";="main:1.defaultlast5years";="main:0.defaultlast10years";="main:1.defaultlast10years";="cut1:_cons";="cut2:_cons";="cut3:_cons";="cut4:_cons";="cut5:_cons";="cut6:_cons";="cut7:_cons";="cut8:_cons";="sigma2_u:_cons"
="b";="-.0057071";="-.040991";="-.0042507";=".006275";="-.000351";="";="";="";="";="";="";="0";="-.3892392";="-.2070051";="1.311561";="2.082242";="2.421805";="2.553685";="3.190856";="3.418917";="3.722459";=".7565789"
="t";="-.8920913";="-1.868914";="-1.97543";="1.765035";="-.6761829";="";="";="";="";="";="";=".";="-1.335777";="-.7764687";="4.004805";="5.210445";="6.047729";="6.117823";="6.286751";="5.424266";="4.188087";="1.888262"
="p";=".372344";=".0616348";=".0482193";=".0775579";=".4989245";="";="";="";="";="";="";=".";=".1816221";=".4374723";=".0000621";="1.88e-07";="1.47e-09";="9.49e-10";="3.24e-10";="5.82e-08";=".0000281";=".0589908"
="netdebt_ME0_Def10";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0020665";=".0148422";=".0015391";="-.0022721";=".0001271";="";="";="";="";="";="";="0";=".147109";="";="";="";="";="";="";="";="";=""
="t";=".8872639";="1.899918";="1.966557";="-1.737475";=".6778124";="";="";="";="";="";="";=".";="1.318309";="";="";="";="";="";="";="";="";=""
="p";=".3749369";=".0574438";=".0492343";=".0823034";=".4978906";="";="";="";="";="";="";=".";=".1874002";="";="";="";="";="";="";="";="";=""
="netdebt_ME1_Def10";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0016134";="-.0115884";="-.0012017";=".001774";="-.0000992";="";="";="";="";="";="";="0";="-.1079494";="";="";="";="";="";="";="";="";=""
="t";="-.8902816";="-1.868064";="-2.032598";="1.635809";="-.6697111";="";="";="";="";="";="";=".";="-1.429659";="";="";="";="";="";="";="";="";=""
="p";=".3733147";=".0617532";=".0420932";=".1018796";=".503042";="";="";="";="";="";="";=".";=".152815";="";="";="";="";="";="";="";="";=""
="netdebt_ME2_Def10";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0003539";="-.0025417";="-.0002636";=".0003891";="-.0000218";="";="";="";="";="";="";="0";="-.0301029";="";="";="";="";="";="";="";="";=""
="t";="-.8362224";="-1.714783";="-1.505401";="1.699777";="-.6682737";="";="";="";="";="";="";=".";="-1.047304";="";="";="";="";="";="";="";="";=""
="p";=".4030298";=".0863849";=".1322211";=".0891728";=".5039589";="";="";="";="";="";="";=".";=".2949593";="";="";="";="";="";="";="";="";=""
=""
