="";="foodw_mfgrossdebt";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="";="main:ngdpdpc_var";="main:ngdp_rpch";="main:extdebtpercgni_var";="main:ggxwdg_ngdp_var";="main:pcpipch";="main:0.defaultlastyear";="main:1.defaultlastyear";="main:0.defaultlast2years";="main:1.defaultlast2years";="main:0.defaultlast5years";="main:1.defaultlast5years";="main:0.defaultlast10years";="main:1.defaultlast10years";="cut1:_cons";="cut2:_cons";="cut3:_cons";="cut4:_cons";="sigma2_u:_cons"
="b";="-.0004107";="-.0025726";="-.0000585";="-.0013737";="-.0012557";="";="";="";="";="0";="-.0063765";="";="";="";="";="";="";=""
="t";="-.3606804";="-.7251947";="-.1254211";="-1.532905";="-1.343207";="";="";="";="";=".";="-.166716";="";="";="";="";="";="";=""
="p";=".7183384";=".4683326";=".9001902";=".1252993";=".1792051";="";="";="";="";=".";=".8675935";="";="";="";="";="";="";=""
="grossdebt_OP_10";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0037207";="-.0149327";=".0001424";="-.0145475";="-.0140741";="";="";="";="";="";="";="0";="-.6997879";="-.8918872";=".6180959";="1.483346";="2.14526";=".2793032"
="t";="-.3471279";="-.5428144";=".0331079";="-2.164338";="-1.923129";="";="";="";="";="";="";=".";="-1.647646";="-2.121226";="1.507614";="3.606366";="3.831661";="1.746876"
="p";=".7284952";=".5872576";=".9735885";=".0304384";=".0544639";="";="";="";="";="";="";=".";=".0994254";=".0339028";=".1316533";=".0003105";=".0001273";=".0806589"
="grossdebt_ME0_Def10";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";=".0014224";=".0057086";="-.0000545";=".0055613";=".0053803";="";="";="";="";="";="";="0";=".2509202";="";="";="";="";=""
="t";=".346883";=".5441688";="-.0331052";="2.217497";="1.950668";="";="";="";="";="";="";=".";="1.910115";="";="";="";="";=""
="p";=".7286792";=".5863253";=".9735907";=".0265891";=".0510966";="";="";="";="";="";="";=".";=".0561183";="";="";="";="";=""
="grossdebt_ME1_Def10";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.000892";="-.0035798";=".0000341";="-.0034875";="-.003374";="";="";="";="";="";="";="0";="-.1096712";="";="";="";="";=""
="t";="-.3422825";="-.5564511";=".0331045";="-2.216901";="-1.865712";="";="";="";="";="";="";=".";="-3.124673";="";="";="";="";=""
="p";=".7321383";=".5779025";=".9735912";=".0266299";=".0620817";="";="";="";="";="";="";=".";=".00178";="";="";="";="";=""
="grossdebt_ME2_Def10";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";="";=""
="b";="-.0004123";="-.0016549";=".0000158";="-.0016122";="-.0015597";="";="";="";="";="";="";="0";="-.1022779";="";="";="";="";=""
="t";="-.3575992";="-.511964";=".0330853";="-1.984302";="-1.725307";="";="";="";="";="";="";=".";="-1.365983";="";="";="";="";=""
="p";=".7206433";=".6086762";=".9736066";=".0472222";=".0844722";="";="";="";="";="";="";=".";=".1719442";="";="";="";="";=""
=""
