="t",="-1.259362",="-.0644225",="-1.810461",=".0557565",="-.6777831",=".",=".0947876",="",="",="",="",="",="",="",="",="",="",="",="",=""
="p",=".2078998",=".9486339",=".0702244",=".9555358",=".4979092",=".",=".9244835",="",="",="",="",="",="",="",="",="",="",="",="",=""
="grossdebt_ME2_Def1",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="b",="-.0002265",="-.0000581",="-.0004308",="6.80e-06",="-.0007315",="0",=".0009499",="",="",="",="",="",="",="",="",="",="",="",="",=""
="t",="-1.049956",="-.0642073",="-1.448894",=".0558344",="-.6409452",=".",=".0931605",="",="",="",="",="",="",="",="",="",="",="",="",=""
="p",=".2937381",=".9488052",=".1473671",=".9554737",=".5215583",=".",=".9257761",="",="",="",="",="",="",="",="",="",="",="",="",=""
="grossdebt_OP_2",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="b",="-.0059076",="-.0046244",="-.0126974",=".0004442",="-.0243335",="",="",="0",=".3000136",="",="",="",="",=".9252839",="2.008317",="2.635111",="3.316034",="3.503608",="4.284712",="1.33423"
="t",="-1.155087",="-.1740602",="-1.926251",=".1244772",="-.7394391",="",="",=".",=".7422544",="",="",="",="",="3.70384",="6.886201",="7.136515",="6.529902",="6.294592",="9.102697",="3.4928"
="p",=".2480549",=".8618181",=".054073",=".9009375",=".4596404",="",="",=".",=".4579332",="",="",="",="",=".0002124",="5.73e-12",="9.57e-13",="6.58e-11",="3.08e-10",="0",=".000478"
="grossdebt_ME0_Def2",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="b",=".0013616",=".0010658",=".0029265",="-.0001024",=".0056085",="",="",="0",="-.0778474",="",="",="",="",="",="",="",="",="",="",=""
="t",="1.132159",=".1739751",="1.816737",="-.1248385",=".7411575",="",="",=".",="-.6717126",="",="",="",="",="",="",="",="",="",="",=""
="p",=".2575675",=".861885",=".0692573",=".9006514",=".4585979",="",="",=".",=".5017667",="",="",="",="",="",="",="",="",="",="",=""
="grossdebt_ME1_Def2",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="b",="-.0011033",="-.0008636",="-.0023713",=".000083",="-.0045445",="",="",="0",=".060968",="",="",="",="",="",="",="",="",="",="",=""
="t",="-1.152195",="-.1742608",="-1.854637",=".1247624",="-.7536441",="",="",=".",=".7095873",="",="",="",="",="",="",="",="",="",="",=""
="p",=".249241",=".8616605",=".063648",=".9007117",=".451063",="",="",=".",=".4779601",="",="",="",="",="",="",="",="",="",="",=""
="grossdebt_ME2_Def2",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="b",="-.0001987",="-.0001555",="-.000427",=".0000149",="-.0008183",="",="",="0",=".0126765",="",="",="",="",="",="",="",="",="",="",=""
="t",="-1.001972",="-.1719216",="-1.46373",=".1248591",="-.7013829",="",="",=".",=".5754913",="",="",="",="",="",="",="",="",="",="",=""
="p",=".316357",=".8634992",=".1432676",=".9006351",=".4830641",="",="",=".",=".5649591",="",="",="",="",="",="",="",="",="",="",=""
="grossdebt_OP_5",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="b",="-.006588",="-.0015221",="-.0124713",=".0001821",="-.0209081",="",="",="",="",="0",=".0000775",="",="",=".9005518",="1.980308",="2.606665",="3.290308",="3.477978",="4.257499",="1.34176"
="t",="-1.267999",="-.0565486",="-1.882716",=".0524534",="-.6221082",="",="",="",="",=".",=".0001569",="",="",="3.568499",="6.687116",="6.948545",="6.411101",="6.173156",="8.928056",="3.440443"
="p",=".2047984",=".9549048",=".0597389",=".9581674",=".5338707",="",="",="",="",=".",=".9998748",="",="",=".000359",="2.28e-11",="3.69e-12",="1.44e-10",="6.69e-10",="0",=".0005808"
="grossdebt_ME0_Def5",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="b",=".0015448",=".0003569",=".0029244",="-.0000427",=".0049028",="",="",="",="",="0",="-.0000182",="",="",="",="",="",="",="",="",=""
="t",="1.232595",=".0565505",="1.778053",="-.0525189",=".6245482",="",="",="",="",=".",="-.0001569",="",="",="",="",="",="",="",="",=""
="p",=".217727",=".9549033",=".0753952",=".9581152",=".5322676",="",="",="",="",=".",=".9998748",="",="",="",="",="",="",="",="",=""
="grossdebt_ME1_Def5",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="b",="-.0012476",="-.0002882",="-.0023618",=".0000345",="-.0039595",="",="",="",="",="0",=".0000147",="",="",="",="",="",="",="",="",=""
="t",="-1.260142",="-.0565796",="-1.814272",=".0525068",="-.6331543",="",="",="",="",=".",=".0001569",="",="",="",="",="",="",="",="",=""
="p",=".2076182",=".9548801",=".0696358",=".9581249",=".5266329",="",="",="",="",=".",=".9998748",="",="",="",="",="",="",="",="",=""
="grossdebt_ME2_Def5",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="b",="-.0002284",="-.0000528",="-.0004324",="6.31e-06",="-.0007249",="",="",="",="",="0",="2.69e-06",="",="",="",="",="",="",="",="",=""
="t",="-1.071167",="-.0563553",="-1.445397",=".0525354",="-.5987189",="",="",="",="",=".",=".0001569",="",="",="",="",="",="",="",="",=""
="p",=".2840942",=".9550588",=".1483464",=".9581021",=".5493604",="",="",="",="",=".",=".9998748",="",="",="",="",="",="",="",="",=""
="grossdebt_OP_10",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="b",="-.0068263",=".0018613",="-.0125005",=".0001132",="-.0190331",="",="",="",="",="",="",="0",="-.2063473",=".8672894",="1.949548",="2.579486",="3.268881",="3.457253",="4.234766",="1.37419"
="t",="-1.299497",=".0700857",="-1.883796",=".0315271",="-.6019907",="",="",="",="",="",="",=".",="-.5331759",="3.399881",="6.517137",="6.912169",="6.354732",="6.094372",="8.806797",="3.326255"
="p",=".1937735",=".9441254",=".0595926",=".9748492",=".5471803",="",="",="",="",="",="",=".",=".5939118",=".0006742",="7.17e-11",="4.77e-12",="2.09e-10",="1.10e-09",="0",=".0008802"
="grossdebt_ME0_Def10",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="b",=".0016244",="-.0004429",=".0029747",="-.0000269",=".0045292",="",="",="",="",="",="",="0",=".0457608",="",="",="",="",="",="",=""
="t",="1.2635",="-.0700386",="1.781457",="-.0315508",=".6057339",="",="",="",="",="",="",=".",=".5573652",="",="",="",="",="",="",=""
="p",=".2064097",=".9441629",=".0748378",=".9748303",=".5446914",="",="",="",="",="",="",=".",=".577278",="",="",="",="",="",="",=""
="grossdebt_ME1_Def10",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="b",="-.0013052",=".0003559",="-.0023902",=".0000216",="-.0036392",="",="",="",="",="",="",="0",="-.0374462",="",="",="",="",="",="",=""
="t",="-1.303019",=".0700241",="-1.81359",=".0315421",="-.6119607",="",="",="",="",="",="",=".",="-.547544",="",="",="",="",="",="",=""
="p",=".1925683",=".9441744",=".0697408",=".9748372",=".5405637",="",="",="",="",="",="",=".",=".5840051",="",="",="",="",="",="",=""
="grossdebt_ME2_Def10",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="b",="-.0002447",=".0000667",="-.0004482",="4.06e-06",="-.0006824",="",="",="",="",="",="",="0",="-.006462",="",="",="",="",="",="",=""
="t",="-1.070337",=".0701806",="-1.444679",=".0315728",="-.5885704",="",="",="",="",="",="",=".",="-.5721377",="",="",="",="",="",="",=""
="p",=".2844674",=".9440499",=".1485481",=".9748127",=".5561495",="",="",="",="",="",="",=".",=".5672287",="",="",="",="",="",="",=""
=""
