="",="fooup_smstructbal",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="main:ngdpdpc_var",="main:ngdp_rpch",="main:extdebtpercgni_var",="main:ggsb_npgdp",="main:pcpipch",="main:0.defaultlastyear",="main:1.defaultlastyear",="main:0.defaultlast2years",="main:1.defaultlast2years",="main:0.defaultlast5years",="main:1.defaultlast5years",="main:0.defaultlast10years",="main:1.defaultlast10years",="cut1:_cons",="cut2:_cons",="cut3:_cons",="cut4:_cons",="sigma2_u:_cons"
="t",="1.472157",="-.2913289",="1.801835",="1.380674",=".7789126",="",="",="",="",="",="",=".",="-.0211368",="",="",="",="",=""
="p",=".1409786",=".7707998",=".0715714",=".1673791",=".4360312",="",="",="",="",="",="",=".",=".9831366",="",="",="",="",=""
="structbal_ME1_Def10",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="b",="-.0018855",=".0019846",="-.0029109",="-.0130684",="-.0043604",="",="",="",="",="",="",="0",=".0016901",="",="",="",="",=""
="t",="-1.516055",=".2909099",="-1.82103",="-1.383691",="-.8012118",="",="",="",="",="",="",=".",=".0211577",="",="",="",="",=""
="p",=".1295054",=".7711202",=".0686023",=".166453",=".423009",="",="",="",="",="",="",=".",=".9831198",="",="",="",="",=""
="structbal_ME2_Def10",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="b",="-.0002669",=".000281",="-.0004121",="-.0018502",="-.0006173",="",="",="",="",="",="",="0",=".0002402",="",="",="",="",=""
="t",="-1.169781",=".2844752",="-1.472923",="-1.127293",="-.6919786",="",="",="",="",="",="",=".",=".0210448",="",="",="",="",=""
="p",=".2420892",=".7760463",=".1407718",=".2596186",=".4889507",="",="",="",="",="",="",=".",=".9832099",="",="",="",="",=""
=""
