Country2Code;Year;Moodys_NumericRating;Fitch_NumericRating;AvgRatingMF;Diff_DW_MF;OLD_Diff_DW_MF_OLD;BudgetBal_NGDP;BudgetBal_NGDP_Var;GGSB_NPGDP;GGSB_NPGDP_Var;GGXWDG_NGDP;GGXWDG_NGDP_Var;GGXWDN_NGDP;GGXWDN_NGDP_Var;NGDP_RPCH;NGDPDPC;NGDPDPC_Var;PCPIPCH;ExtDebtCombinedPercGNI;ExtDebtPercGNI_Var;DefaultLastYear;DefaultLast2Years;DefaultLast5Years;DefaultLast10Years
GT;2008;10;11;10.5;1;1;-1.62;-12.075;;0;20.13;-5.684;;0;3.28;2859.65;11.945;11.36;36.18;-5.037;1;1;1;1
GT;2009;10;11;10.5;1;1;-3.14;-94.489;;0;22.92;13.873;;0;0.53;2690.09;-5.929;1.86;40.46;11.829;0;1;1;1
GT;2010;11;11;11;0;0;-3.29;-4.744;;0;24.11;5.188;;0;2.87;2875.31;6.885;3.86;37.48;-7.375;0;0;1;1
GT;2011;11;11;11;0;0;-2.79;15.137;;0;23.67;-1.829;;0;4.16;3233.8;12.468;6.22;35.38;-5.595;0;0;1;1
GT;2012;11;11;11;0;0;-2.39;14.291;;0;24.33;2.797;;0;2.97;3335.91;3.158;3.78;30.82;-12.902;0;0;1;1
GT;2013;11;11;11;0;0;-2.13;11.032;;0;24.62;1.196;;0;3.7;3478.2;4.265;4.34;32.77;6.344;0;0;0;1
HR;2013;11;11;11;0;0;-5.36;-0.206;-3.88;5.435;80.75;16.633;;0;-1.06;13568.95;2.536;2.19;112;2.686;0;0;0;0
HU;2011;11;12;11.5;1;1;-5.47;-20.844;;0;80.76;0.221;74.44;-1.049;1.76;14013.41;7.869;3.96;159.64;-5.687;0;1;1;1
HU;2012;11;11;11;0;0;-2.31;57.692;;0;78.29;-3.053;72.1;-3.141;-1.69;12804.69;-8.625;5.71;170.25;6.646;0;0;1;1
HU;2013;11;11;11;0;0;-2.49;-7.566;;0;76.76;-1.966;71.2;-1.247;1.89;13563.61;5.927;1.73;155.41;-8.72;0;0;1;1
HU;2014;11;11;11;0;0;-2.52;-1.447;;0;76.18;-0.75;71;-0.287;3.67;14006.95;3.269;-0.2;139.23;-10.413;0;0;1;1
HU;2015;11;11;11;0;0;-2.23;11.529;;0;75.52;-0.861;71.57;0.804;2.94;12239.89;-12.616;-0.1;135.27;-2.841;0;0;0;1
ID;1997;11;11;11;0;0;-1.03;-207.484;0;0;0;0;;0;4.7;1308.11;-6.195;6.19;65.09;11.658;0;0;1;1
ID;1998;6;6;6;0;0;-1.89;-83.172;0;0;0;0;;0;-13.13;572.09;-56.266;58.02;168.18;158.382;1;1;1;1
ID;1999;6;6;6;0;0;-0.96;49.366;0;0;0;0;;0;0.79;829.57;45.008;20.75;117.36;-30.218;1;1;1;1
ID;2000;6;6;6;0;0;-1.87;-94.995;0;0;87.44;0;;0;4.98;870.15;4.892;3.77;95.57;-18.567;1;1;1;1
ID;2001;6;6;6;0;0;-1.76;5.668;0;0;73.7;-15.708;;0;3.64;834.14;-4.139;11.5;92.29;-3.435;1;1;1;1
ID;2002;6;7;6.5;1;1;-0.58;67.347;0;0;62.34;-15.417;;0;4.5;1002.91;20.233;11.78;74.32;-19.465;1;1;1;1
ID;2003;7;8;7.5;1;1;-1.08;-86.979;0;0;55.64;-10.741;;0;4.78;1186.85;18.34;6.77;59.26;-20.265;1;1;1;1
ID;2004;7;8;7.5;1;1;-0.26;75.859;-0.26;0;51.33;-7.755;;0;5.03;1280.7;7.908;6.06;56.11;-5.324;1;1;1;1
ID;2005;7;9;8;1;2;0.42;263.077;0.4;255.642;42.61;-16.981;;0;5.69;1403.88;9.618;10.46;52.15;-7.055;0;1;1;1
ID;2006;8;9;8.5;1;1;0.37;-12.028;0.42;3.75;35.85;-15.873;;0;5.5;1764.79;25.708;13.1;38.95;-25.303;1;1;1;1
ID;2007;9;9;9;0;0;-0.95;-353.887;-0.91;-319.036;32.33;-9.805;;0;6.35;2064.23;16.968;6.66;35.67;-8.436;1;1;1;1
ID;2008;9;10;9.5;1;1;0.05;105.702;-0.11;87.679;30.25;-6.436;;0;7.44;2418.04;17.14;9.78;32.09;-10.032;0;1;1;1
ID;2009;10;10;10;0;0;-1.64;-3144.444;-1.57;-1304.464;26.48;-12.459;;0;4.7;2464.96;1.94;5.05;34.45;7.367;0;0;1;1
ID;2010;10;11;10.5;1;1;-1.24;24.453;-1.23;21.869;24.53;-7.393;;0;6.38;3178.13;28.933;5.14;27;-21.641;0;0;1;1
ID;2011;11;12;11.5;1;1;-0.7;43.398;-0.7;43.043;23.11;-5.786;;0;6.17;3688.53;16.06;5.34;25.35;-6.108;0;0;1;1
JM;2010;6;6;6;0;0;-6.33;43.065;;0;142.04;0.074;;0;-1.45;4811.45;8.494;12.61;110.87;14.322;1;1;1;1
JM;2011;6;6;6;0;0;-6.41;-1.231;;0;140.5;-1.085;;0;1.42;5226.3;8.622;7.53;102.23;-7.788;1;1;1;1
JM;2012;6;6;6;0;0;-4.09;36.276;;0;145.33;3.438;;0;-0.52;5325.02;1.889;6.9;97.2;-4.925;1;1;1;1
JM;2013;3;4;3.5;1;1;0.12;102.912;;0;139.68;-3.889;;0;0.2;5096.83;-4.285;9.36;92.27;-5.074;1;1;1;1
JM;2014;3;6;4.5;1;3;-0.5;-517.647;;0;135.62;-2.909;;0;0.53;4963.65;-2.613;8.28;102.97;11.599;1;1;1;1
JM;2015;4;6;5;1;2;-0.4;20.322;;0;124.35;-8.307;;0;1.09;4948.02;-0.315;4.68;97.25;-5.553;1;1;1;1
KZ;1996;9;9;9;0;0;0;0;0;0;0;0;0;0;0.5;1349.6;0;39.13;14.04;0;1;1;1;1
KZ;1997;9;9;9;0;0;0;0;0;0;0;0;0;0;1.7;1457.03;7.96;17.44;18.66;32.937;0;1;1;1
KZ;1998;9;10;9.5;1;1;0;0;0;0;0;0;0;0;-1.9;1445.9;-0.764;7.29;27.83;49.119;0;0;1;1
KZ;1999;8;9;8.5;1;1;0;0;0;0;0;0;0;0;2.7;1132.12;-21.701;8.41;40.49;45.483;1;1;1;1
KZ;2000;8;9;8.5;1;1;0;0;0;0;0;0;0;0;9.8;1230.49;8.689;13.33;75.66;86.86;1;1;1;1
KZ;2001;10;10;10;0;0;0;0;0;0;0;0;0;0;13.5;1491.65;21.224;8.38;73.34;-3.059;0;1;1;1
LB;1997;8;10;9;1;2;-24.22;0;0;0;0;0;0;0;10.19;5090.9;0;7.75;31.69;0;0;1;1;1
LB;1998;8;9;8.5;1;1;-17.04;29.65;0;0;0;0;0;0;3.9;5552.03;9.058;4.55;40.09;26.491;0;0;1;1
LB;1999;8;9;8.5;1;1;-16.5;3.204;0;0;0;0;0;0;-0.8;5513.69;-0.69;0.24;48.25;20.357;0;0;1;1
LB;2000;8;9;8.5;1;1;-23.63;-43.231;-23.77;0;146.11;0;143.23;0;1.1;5330.99;-3.314;-0.36;58.29;20.813;0;0;1;1
LB;2005;6;6;6;0;0;-8.66;12.783;-14.08;2.113;180.7;5.559;172.41;4.068;2.7;5339.09;-1.826;-0.72;110.58;-3.742;0;0;1;1
LB;2006;6;6;6;0;0;-10.68;-23.377;-18.2;-29.229;185.19;2.484;180.2;4.52;1.6;5342.64;0.066;5.57;114.28;3.346;0;0;1;1
LB;2007;6;6;6;0;0;-11.04;-3.351;-18.71;-2.803;171.02;-7.649;165.18;-8.333;9.4;5936.77;11.121;4.06;101.28;-11.374;0;0;1;1
LB;2008;6;6;6;0;0;-9.95;9.837;-17.27;7.703;163.09;-4.637;151.17;-8.486;9.1;6887.7;16.018;10.76;83.13;-17.927;0;0;0;1
LB;2014;7;7;7;0;0;-5.99;31.105;-13.8;3.294;133.28;-0.063;125.21;0.818;2;11073.37;3.93;1.85;66.44;-5.498;0;0;0;0
LB;2015;7;7;7;0;0;-8.92;-49.04;-12.21;11.51;139.08;4.352;131.2;4.788;1;11236.79;1.476;-3.75;0;-100;0;0;0;0
LK;2011;8;9;8.5;1;1;-6.88;13.546;;0;78.45;-4.221;;0;8.41;2880.03;18.575;6.72;40.05;3.256;1;1;1;1
LK;2012;8;9;8.5;1;1;-6.45;6.221;;0;79.17;0.918;;0;9.15;2874.35;-0.197;7.54;53.25;32.953;1;1;1;1
LK;2013;8;9;8.5;1;1;-5.86;9.144;;0;78.32;-1.082;;0;3.4;3233.99;12.512;6.91;55.49;4.224;1;1;1;1
LK;2014;8;9;8.5;1;1;-6.03;-2.917;;0;75.41;-3.708;;0;4.46;3579.79;10.693;3.27;55.76;0.47;1;1;1;1
LK;2015;8;9;8.5;1;1;-6.13;-1.658;;0;74.43;-1.302;;0;5.18;3889.41;8.649;0.93;55.67;-0.149;0;1;1;1
MX;1995;10;10;10;0;0;-4.07;-562.052;0;0;0;0;0;0;-5.76;3641.06;-36.017;35.06;49.91;85.822;0;0;1;1
